education,recorded_addicts,share_pct
spm,34592.0,39.11131211487365
pmr,30746.0,34.76284696704167
primary,8375.0,9.469161625869184
none,8128.0,9.18989202329131
others,3074.0,3.4756063090055966
diploma,2445.0,2.7644298716716604
stpm,576.0,0.6512521906269433
tertiary,509.0,0.5754988976199898
